Data_Coleta,Id,Date,Time,Home,Away,Round,League,Season,Odd_H,Odd_D,Odd_A,Odd_Over05_FT,Odd_Under05_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_1X,Odd_12,Odd_X2,Media_GM_H,Media_GS_H,Media_P_H,Media_P_DH,Media_P_OH,Media_P_UH,Media_P_HSJ,Media_P_DHSJ,Media_P_OHSJ,Media_P_UHSJ,Media_Ptos_H,Media_SG_H,Media_PDN_SG_H,Media_VP_H,Media_VG_H,Media_VG_HS,Home_prob_M_0,Home_prob_M_1,Home_prob_M_2,Home_prob_M_3,Home_prob_S_0,Home_prob_S_1,Home_prob_S_2,Home_prob_S_3,Media_GM_A,Media_GS_A,Media_P_A,Media_P_DA,Media_P_OA,Media_P_UA,Media_P_ASJ,Media_P_DASJ,Media_P_OASJ,Media_P_UASJ,Media_Ptos_A,Media_SG_A,Media_PDN_SG_A,Media_VP_A,Media_VG_A,Media_VG_AS,Away_prob_M_0,Away_prob_M_1,Away_prob_M_2,Away_prob_M_3,Away_prob_S_0,Away_prob_S_1,Away_prob_S_2,Away_prob_S_3,P_H,P_D,P_A,P_O,P_U,A_D,DifAbs_HomeDraw,CV_Odds,Favorito,Prob_Home,Prob_Away,Over_Under,PONTDF,SALDF,GMDF,GMSDF,Equilibrio
2025-02-17 20:27:15,QZoF8wKP,01/03/2025,01:00,Auckland FC,Adelaide United,ROUND 21,AUSTRALIA - A-LEAGUE,2024/2025,,,,1.03,15.0,1.67,2.2,1.57,2.25,1.4,1.29,1.62,1.4,1.0,0.54,0.27,0.54,0.51,0.51,0.25,0.52,0.49,2.0,0.4,1.0344,0.5,0.36,0.19,0.7,0.25,0.05,0.01,0.83,0.16,0.01,0.0,2.4,0.8,0.5,0.25,0.67,0.38,0.48,0.24,0.64,0.36,3.0,1.6,0.25,0.9,0.73,0.24,0.48,0.35,0.13,0.03,0.79,0.19,0.02,0.0,,,,0.5988,0.4545,,,,,,,TD_Over,PTS_fORA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 20:27:30,CG7zYyEl,01/03/2025,03:00,Brisbane Roar,Melbourne Victory,ROUND 21,AUSTRALIA - A-LEAGUE,2024/2025,,,,1.02,21.0,1.44,2.75,1.57,2.25,2.63,1.18,1.13,0.8,2.4,0.43,0.26,0.63,0.42,0.41,0.24,0.6,0.4,0.0,-1.6,-0.3704,0.0,0.37,1.0,0.69,0.26,0.05,0.01,0.37,0.37,0.18,0.06,1.0,1.6,0.44,0.27,0.58,0.48,0.42,0.26,0.55,0.45,0.8,-0.6,-0.4878,0.22,0.33,0.6,0.72,0.24,0.04,0.0,0.55,0.33,0.1,0.02,,,,0.6944,0.3636,,,,,,,TD_Over,PTS_fORA,SALDO_CASA,GM_Casa_M,GS_Casa_M,Desequilibrado
2025-02-17 20:30:34,YJJ6p7Mc,01/03/2025,12:00,Cercle Brugge KSV,Antwerp,ROUND 28,BELGIUM - JUPILER PRO LEAGUE,2024/2025,,,,,,,,,,,,,0.8,1.0,0.37,0.29,0.53,0.51,0.35,0.27,0.51,0.49,2.0,-0.2,0.3571,0.7,0.26,0.44,0.77,0.2,0.03,0.0,0.64,0.28,0.06,0.01,1.6,1.2,0.42,0.29,0.53,0.52,0.4,0.27,0.51,0.5,1.6,0.4,0.0,0.49,0.53,0.47,0.59,0.31,0.08,0.01,0.63,0.29,0.07,0.01,,,,,,,,,,,,,PTS_CASA,SALDO_CASA,GM_Fora_M,GS_Fora_M,Desequilibrado
2025-02-17 23:00:12,SQxWgFhJ,02/03/2025,18:00,Aucas,Vinotinto,FIRST STAGE ,ECUADOR - LIGA PRO,2025,,,,,,,,,,,,,1.2,2.0,0.42,0.3,0.49,0.56,0.39,0.28,0.47,0.53,0.8,-0.8,0.0,0.23,0.33,0.65,0.72,0.24,0.04,0.0,0.52,0.34,0.11,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Desequilibrado
2025-02-17 22:58:55,6F2Kw32L,17/02/2025,21:00,Mushuc Runa,Delfin,FIRST STAGE ,ECUADOR - LIGA PRO,2025,1.67,3.75,4.75,1.04,12.0,1.8,2.0,1.8,1.91,1.18,1.25,2.15,1.4,0.6,0.49,0.28,0.51,0.54,0.46,0.26,0.49,0.51,1.8,0.8,0.2381,0.49,0.41,0.22,0.66,0.27,0.06,0.01,0.8,0.18,0.02,0.0,0.6,1.6,0.2,0.28,0.48,0.58,0.19,0.27,0.46,0.55,0.8,-1.0,0.0,0.43,0.36,0.99,0.7,0.25,0.05,0.01,0.37,0.37,0.18,0.06,0.5988,0.2667,0.2105,0.5556,0.5,1.2667,2.08,0.46,Casa_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Over,PTS_CASA,SALDO_CASA,GM_Casa_M,GS_Fora_M,Desequilibrado
2025-02-17 22:48:01,2wnBpT4T,18/02/2025,16:45,Preston,Millwall,ROUND 31,ENGLAND - CHAMPIONSHIP,2024/2025,2.3,3.1,3.25,1.11,6.5,2.7,1.41,2.25,1.57,1.33,1.36,1.57,1.4,0.8,0.37,0.3,0.44,0.61,0.35,0.28,0.42,0.58,1.8,0.6,0.0,0.67,0.55,0.34,0.58,0.32,0.09,0.02,0.71,0.24,0.04,0.0,0.8,1.0,0.25,0.3,0.41,0.63,0.24,0.28,0.39,0.6,1.0,-0.2,0.5128,0.5,0.37,0.48,0.69,0.26,0.05,0.01,0.62,0.3,0.07,0.01,0.4348,0.3226,0.3077,0.3704,0.7092,1.0484,0.8,0.18,Casa_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Under,PTS_CASA,SALDO_fORA,GM_Casa_M,GS_Fora_M,Equilibrado
2025-02-17 22:57:13,SAGzxG1T,18/02/2025,18:00,Bucaramanga,Alianza,APERTURA ,COLOMBIA - PRIMERA A,2025,1.8,3.2,5.25,1.1,7.0,2.5,1.5,2.25,1.57,1.17,1.36,1.95,1.0,1.6,0.37,0.34,0.36,0.7,0.34,0.32,0.34,0.66,0.8,-0.6,-0.2941,0.31,0.33,0.55,0.72,0.24,0.04,0.0,0.58,0.32,0.09,0.02,0.4,2.0,0.16,0.26,0.44,0.62,0.15,0.24,0.42,0.58,0.0,-1.6,-0.578,0.0,0.23,1.29,0.79,0.18,0.02,0.0,0.28,0.36,0.23,0.1,0.5556,0.3125,0.1905,0.4,0.6667,1.6406,1.4,0.51,Casa_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Under,PTS_CASA,SALDO_CASA,GM_Casa_M,GS_Fora_M,Desequilibrado
2025-02-17 22:57:23,v98z7z13,18/02/2025,20:10,Llaneros,Dep. Cali,APERTURA ,COLOMBIA - PRIMERA A,2025,2.4,3.1,3.0,1.1,7.0,2.6,1.48,2.1,1.67,1.36,1.36,1.53,,,,,,,,,,,,,,,,,,,,,,,,,0.6,1.2,0.21,0.29,0.45,0.61,0.2,0.27,0.42,0.57,1.0,-0.6,-2.1429,0.58,0.33,0.72,0.72,0.24,0.04,0.0,0.49,0.35,0.13,0.03,0.4167,0.3226,0.3333,0.3846,0.6757,0.9677,0.7,0.13,Casa_Fav,,Odd_Atual_Maior,TD_Under,,,,,Equilibrado
2025-02-17 22:57:31,4jfhfcHc,18/02/2025,22:20,Chico,Junior,APERTURA ,COLOMBIA - PRIMERA A,2025,2.9,3.0,2.55,1.1,7.0,2.5,1.5,2.1,1.67,1.5,1.36,1.4,0.8,1.6,0.3,0.33,0.37,0.69,0.29,0.31,0.35,0.65,1.4,-0.8,-2.0512,0.56,0.33,0.77,0.72,0.24,0.04,0.0,0.46,0.36,0.14,0.04,0.4,0.8,0.3,0.31,0.42,0.64,0.28,0.29,0.4,0.6,0.6,-0.4,0.0,0.26,0.21,0.4,0.81,0.17,0.02,0.0,0.67,0.27,0.05,0.01,0.3448,0.3333,0.3922,0.4,0.6667,0.85,0.1,0.08,Fora_Fav,Odd_Atual_Maior,Odd_Atual_Maior,TD_Under,PTS_CASA,SALDO_fORA,GM_Casa_M,GS_Casa_M,SP_Equilibrado
2025-02-17 22:46:08,hxj39Vm2,19/02/2025,16:30,Aston Villa,Liverpool,ROUND 29,ENGLAND - PREMIER LEAGUE,2024/2025,3.9,4.1,1.83,1.03,17.0,1.57,2.38,1.53,2.38,1.91,1.22,1.25,2.0,1.0,0.6,0.23,0.66,0.39,0.56,0.22,0.63,0.37,2.6,1.0,0.1176,0.58,0.47,0.25,0.63,0.29,0.07,0.01,0.78,0.19,0.02,0.0,3.4,1.4,0.63,0.22,0.7,0.35,0.6,0.21,0.66,0.34,2.2,2.0,0.3478,0.41,0.67,0.34,0.51,0.34,0.11,0.03,0.71,0.24,0.04,0.0,0.2564,0.2439,0.5464,0.6369,0.4202,0.4463,0.2,0.38,Fora_Fav,Media_Maior,Media_Maior,TD_Over,PTS_CASA,SALDO_fORA,GM_Fora_M,GS_Fora_M,Desequilibrado
